#R1,R2,R3,Top100LiberalArts
Arizona State University-Tempe,Air Force Institute Of Technology-Graduate School Of Engineering & Management,Adelphi University,Amherst College
Auburn University Main Campus,American University,Alliant International University-San Diego,Williams College
Suny Binghamton,Arizona State University-Downtown Phoenix,Andrews University,Pomona College
Boston College,Arizona State University-Skysong,Argosy University-Atlanta,Wellesley College
Boston University,Arkansas State University-Main Campus,Argosy University-Chicago,Swarthmore College
Brandeis University,Azusa Pacific University,Argosy University-Northern Virginia,Middlebury College
Brown University,Ball State University,Argosy University-Phoenix Online Division,Claremont McKenna College
California Institute Of Technology,Baylor University,Argosy University-Sarasota,Haverford College
Carnegie Mellon University,Boise State University,Augusta University,Carleton College
Case Western Reserve University,Bowling Green State University-Main Campus,Aurora University,Smith College
Clemson University,Brigham Young University,Baker University,Wesleyan University
Colorado State University-Fort Collins,Catholic University Of America,Barry University,Bowdoin College
Columbia University In The City Of New York,Central Michigan University,Bellarmine University,Colgate University
Cornell University,Chapman University,Belmont University,Barnard College
Cuny Graduate School and University Center,Claremont Graduate University,Benedictine University,Bryn Mawr College
Dartmouth College,Clark Atlanta University,Bethel University,Davidson College
Drexel University,Clark University,Biola University,Vassar College
Duke University,Clarkson University,Brandman University,Grinnell College
Emory University,Cleveland State University,California Institute Of Integral Studies,Hamilton College
Florida International University,College Of William And Mary,California State University-Fresno,Mount Holyoke College
Florida State University,Colorado School Of Mines,Campbell University,Bates College
George Mason University,Cuny City College,Capella University,Scripps College
George Washington University,Delaware State University,Cardinal Stritch University,Wake Forest University
Georgetown University,DePaul University,Carson-Newman University,Washington and Lee University
Georgia Institute Of Technology Main Campus,Duquesne University,Chatham University,Bucknell University
Georgia State University,East Carolina University,Clarke University,Reed College
Harvard University,East Tennessee State University,Colorado Technical University-Colorado Springs,Pitzer College
Indiana University-Bloomington,Eastern Michigan University,Columbia Southern University,United States Naval Academy
Iowa State University,Florida Agricultural and Mechanical University,Concordia University-Portland,Macalester College
Johns Hopkins University,Florida Atlantic University,Concordia University-Wisconsin,Lafayette College
Kansas State University,Florida Institute Of Technology,Creighton University,Trinity College
Louisiana St Univ & Agrl & Mech & Hebert Laws Ctr,Fordham University,D'Youville College,Franklin And Marshall College
Massachusetts Institute Of Technology,Gallaudet University,Daemen College,Kenyon College
Michigan State University,Georgia Southern University,Dallas Baptist University,Skidmore College
Mississippi State University,Hampton University,Drake University,Oberlin College
Montana State University,Howard University,Edgewood College,Occidental College
New Jersey Institute Of Technology,Idaho State University,Elon University,Dickinson College
New York University,Illinois Institute Of Technology,Ferris State University,Gettysburg College
North Carolina State University At Raleigh,Illinois State University,Fielding Graduate University,Whitman College
Northeastern University,Indiana University-Purdue University-Indianapolis,Gannon University,Connecticut College
Northwestern University,Jackson State University,Gardner-Webb University,Colorado College
Ohio State University-Main Campus,Jefferson (Philadelphia University + Thomas Jefferson University),George Fox University,Trinity University
Oklahoma State University-Main Campus,Kennesaw State University,Gonzaga University,Seattle University
Oregon State University,Kent State University At Kent,Grand Canyon University,Union College
Pennsylvania State University-Main Campus,Lehigh University,Harding University,DePauw University
Princeton University,Louisiana Tech University,Hofstra University,Denison University
Purdue University-Main Campus,Loyola Marymount University,Husson University,College Of The Holy Cross
Rensselaer Polytechnic Institute,Loyola University Chicago,Immaculata University,Simmons College
Rice University,Marquette University,Indiana State University,Wheaton College (Massachusetts)
Rutgers University-New Brunswick,Marshall University,Indiana University Of Pennsylvania-Main Campus,Rhodes College
Stanford University,Mercer University,Inter American University Of Puerto Rico-Metro,Sewanee-The University Of The South
Suny Center Stony Brook,Miami University-Oxford,Inter American University Of Puerto Rico-San German,Willamette University
Suny Center Albany,Michigan Technological University,John F. Kennedy University,Elon University
Syracuse University,Missouri University Of Science and Technology,Keiser University-Ft Lauderdale,Hobart and William Smith Colleges
Temple University,Montclair State University,Lamar University,The College Of Wooster
Texas A & M University-College Station,Morgan State University,Lesley University,Furman University
Texas Tech University,New Mexico State University-Main Campus,Liberty University,Spelman College
The University Of Alabama,North Carolina A & T State University,Lincoln Memorial University,Berea College
The University Of Tennessee-Knoxville,North Dakota State University-Main Campus,Lindenwood University,Sarah Lawrence College
The University Of Texas At Austin,Northern Arizona University,Lipscomb University,Allegheny College
The University Of Texas At Arlington,Northern Illinois University,Long Island University,Muhlenberg College
The University Of Texas At Dallas,Nova Southeastern University,Loyola University New Orleans,Linfield College - McMinnville campus
The University Of Texas At El Paso,Oakland University,Mary Baldwin University,St Olaf College
Tufts University,Ohio University-Main Campus,Maryville University Of Saint Louis,Kalamazoo College
Tulane University Of Louisiana,Old Dominion University,Metropolitan State University,Wheaton College (Illinois)
University At Buffalo,Ponce Health Sciences University,Middle Tennessee State University,Ohio Wesleyan University
University Of Alabama At Birmingham,Portland State University,Misericordia University,St Lawrence University
University Of Arizona,Rochester Institute Of Technology,Mississippi College,Lawrence University
University Of Arkansas,Rockefeller University,Missouri State University-Springfield,Westmont College
University Of California-Berkeley,Rowan University,National Louis University,Gustavus Adolphus College
University Of California-Davis,Rutgers University-Camden,Northcentral University,Saint Marys College Of California
University Of California-Irvine,Rutgers University-Newark,Northeastern University Professional Advancement Network,Wofford College
University Of California-Los Angeles,Saint Louis University,Northern Kentucky University,Lake Forest College
University Of California-Riverside,San Diego State University,Oklahoma City University,Adelphi University
University Of California-San Diego,Seton Hall University,Our Lady Of The Lake University,Susquehanna University
University Of California-Santa Barbara,South Dakota State University,Pace University-New York,Drew University
University Of California-Santa Cruz,Southern Illinois University-Carbondale,Pacific University,Southwestern University
University Of Central Florida,Southern Methodist University,Palm Beach Atlantic University,Miami University
University Of Chicago,Stevens Institute Of Technology,Pepperdine University,Knox College
University Of Cincinnati-Main Campus,Suny College Of Environmental Science And Forestry,Pontifical Catholic University Of Puerto Rico-Ponce,Stonehill College
University Of Colorado At Boulder,Teachers College At Columbia University,Purdue University Global-Davenport Campus,Washington College
University Of Colorado Denver/Anschutz-Medical Campus,Tennessee State University,Quinnipiac University,Beloit College
University Of Connecticut,Tennessee Technological University,Regent University,Centre College
University Of Delaware,Texas A & M University-Corpus Christi,Regis University,Gonzaga University
University Of Florida,Texas A & M University-Kingsville,Robert Morris University,Providence College
University Of Georgia,Texas Christian University,Roosevelt University,Ithaca College
University Of Hawaii At Manoa,Texas Southern University,Sacred Heart University,Lewis & Clark College
University Of Houston,Texas State University,Saint John Fisher College,Mercer University
University Of Illinois At Chicago,The New School,Sam Houston State University,Westminster College (Utah)
University Of Illinois At Urbana,The University Of Montana,Samford University,Cornell College
University Of Iowa,The University Of Texas At San Antonio,Santa Clara University,College Of Saint Benedict
University Of Kansas Main Campus,The University Of Texas Rio Grande Valley,Seattle Pacific University,Albion College
University Of Kentucky,University Of Akron Main Campus,Seattle University,Luther College
University Of Louisville,University Of Alabama In Huntsville,Shenandoah University,Saint Anselm College
University Of Maryland College Park,University Of Alaska Fairbanks,Simmons University,Hope College
University Of Massachusetts-Amherst,University Of Arkansas At Little Rock,Southern Illinois University-Edwardsville,Bard College
University Of Miami,University Of California-Merced,Spalding University,Rollins College
University Of Michigan-Ann Arbor,University Of Colorado Colorado Springs,St Catherine University,Manhattan College
University Of Minnesota Twin Cities,University Of Dayton,St Johns University-New York,Earlham College
University Of Mississippi,University Of Denver,Stephen F Austin State University,Hampshire College
University Of Missouri-Columbia,University Of Idaho,Texas A & M University-Commerce,
University Of Nebraska At Lincoln,University Of Louisiana At Lafayette,Texas Wesleyan University,
University Of Nevada-Las Vegas,University Of Maine,Texas Woman's University,
University Of Nevada-Reno,University Of Maryland Eastern Shore,The College Of Saint Scholastica,
University Of New Hampshire-Main Campus,University Of Maryland-Baltimore County,The Sage Colleges,
University Of New Mexico-Main Campus,University Of Massachusetts-Boston,The University Of Findlay,
University Of North Carolina At Chapel Hill,University Of Massachusetts-Dartmouth,The University Of Tennessee-Chattanooga,
University Of North Texas,University Of Massachusetts-Lowell,The University Of Texas At Tyler,
University Of Notre Dame,University Of Memphis,Touro College,
University Of Oklahoma Norman Campus,University Of Missouri-Kansas City,Towson State University,
University Of Oregon,University Of Missouri-St Louis,Trevecca Nazarene University,
University Of Pennsylvania,University Of Nebraska At Omaha,Trident University International,
University Of Pittsburgh-Main Campus,University Of New England,Trinity International University-Illinois,
University Of Rochester,University Of New Orleans,Union Institute & University,
University Of South Carolina-Columbia,University Of North Carolina At Charlotte,Union University,
University Of South Florida,University Of North Carolina At Greensboro,Universidad Ana G. Mendez-Gurabo Campus,
University Of Southern California,University Of North Carolina Wilmington,University Of Bridgeport,
University Of Southern Mississippi,University Of North Dakota,University Of Central Arkansas,
University Of Utah,University Of Puerto Rico-Rio Piedras,University Of Charleston,
University Of Virginia-Main Campus,University Of Rhode Island,University Of Detroit Mercy,
University Of Washington,University Of San Diego,University Of Hartford,
University Of Wisconsin-Madison,University Of South Alabama,University Of Hawaii At Hilo,
University Of Wisconsin-Milwaukee,University Of South Dakota,University Of Indianapolis,
Vanderbilt University,University Of Toledo,University Of La Verne,
Virginia Commonwealth University,University Of Tulsa,University Of Louisiana At Monroe,
Virginia Polytech Institute And State Univ,University Of Vermont,University Of Management and Technology,
Washington State University,University Of Wyoming,University Of Mary,
Washington University In St Louis,Utah State University,University Of Michigan-Flint,
Wayne State University,Villanova University,University Of North Florida,
West Virginia University,Wake Forest University,University Of Northern Colorado,
Yale University,Western Michigan University,University Of Phoenix-Arizona,
,Wichita State University,University Of Saint Joseph,
,Worcester Polytechnic Institute,University Of San Francisco,
,Wright State University-Main Campus,University Of St Francis,
,Yeshiva University,University Of St Thomas,
,,University Of The Cumberlands,
,,University Of The Incarnate Word,
,,University Of The Pacific,
,,University Of The Rockies,
,,University Of West Georgia,
,,Valdosta State University,
,,Valparaiso University,
,,Walden University,
,,Washburn University,
